ID,Cuisine,Dish,Rating,Value
71,Dessert,Rasgulla,4,26
50,Dessert,Gulab Jamun,5,25
72,Fast Food,Subway,2,28
64,Indian,Butter Naan,0,3
40,Mughlai,Kebab,3,13
16,Indian,Pav Bhaji,3,6
45,Dessert,Rasgulla,1,26
66,Mexican,Challupa,5,33
45,South Indian,Onion Uttappam,3,12
51,Mexican,Quesadilla,5,34
3,Thai ,Tom Yam,2,16
63,Fast Food,Veg Burger,3,29
39,South Indian,Masala Dosa,0,11
77,Mexican,Tacos,2,35
66,Chinese,Noodles,2,20
9,American,Rice Bowl,5,21
22,American,Rice Bowl,3,21
82,Dessert,Chocolate Ice-Cream,0,23
75,Chinese,Noodles,3,20
87,Mexican,Challupa,3,33
46,Thai ,Thai Curry,0,15
93,Chinese,Chilli Paneer,1,17
17,Mexican,Tacos,0,35
38,Mughlai,Kebab,2,13
49,South Indian,Idli Sambhar,4,9
54,Chaat,GolGappe,3,1
88,Chinese,Chilli Paneer,4,17
65,Dessert,Rasgulla,2,26
47,Dessert,Rasgulla,0,26
75,South Indian,Sambhar Vada,5,10
55,Indian,Chole Bhature,2,5
24,Chaat,GolGappe,2,1
26,Mughlai,Mutton Biryani,4,14
68,Dessert,Gulab Jamun,5,25
10,Dessert,Cake,5,24
45,Chaat,GolGappe,3,1
65,Italian,Pizza,4,31
82,Italian,Pizza,5,31
24,Dessert,Cake,1,24
74,Dessert,Gulab Jamun,5,25
66,Chinese,Chilli Paneer,4,17
9,Mughlai,Mutton Biryani,0,14
23,South Indian,Idli Sambhar,3,9
81,Mughlai,Kebab,2,13
8,Fast Food,Veg Burger,1,29
6,Chinese,Chowmein,0,19
60,Dessert,Chocolate Ice-Cream,1,23
85,Thai ,Thai Curry,3,15
98,Dessert,Gulab Jamun,0,25
89,Dessert,Rasgulla,0,26
19,Mughlai,Kebab,4,13
96,Beverage,Strawberry Smoothie,3,22
31,American,Rice Bowl,1,21
45,Chaat,GolGappe,5,1
86,Indian,Butter Naan,2,3
19,Indian,Shahi Paneer,3,8
15,South Indian,Onion Uttappam,5,12
46,Dessert,Chocolate Ice-Cream,5,23
84,Indian,Shahi Paneer,0,8
97,Chinese,Chilli Paneer,2,17
59,Chinese,Chowmein,4,19
8,American,Rice Bowl,2,21
92,Italian,Pizza,3,31
21,Indian,Shahi Paneer,5,8
85,Beverage,Strawberry Smoothie,5,22
91,Indian,Butter Naan,5,3
68,South Indian,Masala Dosa,1,11
60,Fast Food,Vada Pav,2,27
91,Beverage,Strawberry Smoothie,4,22
60,Dessert,Gulab Jamun,4,25
41,American,Rice Bowl,2,21
51,Chinese,Chilli Paneer,4,17
73,Fast Food,Vada Pav,0,27
24,South Indian,Onion Uttappam,0,12
37,Dessert,Rasgulla,3,26
29,Chinese,Chilli Potato,1,18
74,Thai ,Thai Curry,5,15
93,Indian,Butter Naan,1,3
60,Mughlai,Kebab,5,13
81,Mexican,Challupa,1,33
1,Indian,Butter Naan,5,3
52,Chinese,Chilli Paneer,1,17
87,Chaat,Aloo Tikki,0,2
92,Dessert,Cake,2,24
16,Dessert,Cake,1,24
39,Indian,Palak Paneer,5,7
57,Chaat,Raj Kachori,3,0
46,Chinese,Noodles,3,20
18,Chaat,GolGappe,4,1
20,Chinese,Noodles,2,20
98,Chinese,Chilli Potato,2,18
75,Mughlai,Kebab,0,13
34,Fast Food,Vada Pav,5,27
82,Chinese,Noodles,5,20
53,Mexican,Tacos,0,35
64,Thai ,Tom Yam,0,16
20,Chinese,Chilli Potato,1,18
47,Dessert,Gulab Jamun,3,25
40,Chinese,Chilli Potato,1,18
3,Chinese,Chowmein,5,19
3,Thai ,Tom Yam,5,16
21,Indian,Chole Bhature,4,5
44,Indian,Dal Makhani,1,4
63,Dessert,Rasgulla,0,26
38,Chinese,Chowmein,2,19
11,Dessert,Gulab Jamun,0,25
59,Indian,Butter Naan,1,3
28,Beverage,Strawberry Smoothie,2,22
75,Fast Food,Vada Pav,3,27
87,Dessert,Chocolate Ice-Cream,4,23
96,Thai ,Thai Curry,3,15
77,Dessert,Rasgulla,0,26
14,Chinese,Chowmein,2,19
56,Chinese,Chilli Paneer,2,17
55,Thai ,Tom Yam,0,16
74,Chinese,Chilli Potato,2,18
26,Chinese,Noodles,3,20
30,Mexican,Tacos,1,35
33,Mughlai,Kebab,3,13
45,Chinese,Chowmein,4,19
40,South Indian,Sambhar Vada,4,10
64,Thai ,Thai Curry,4,15
65,Mexican,Tacos,5,35
35,Mexican,Burrito,5,32
85,Mexican,Quesadilla,2,34
29,Dessert,Cake,0,24
5,Indian,Pav Bhaji,5,6
58,Dessert,Cake,4,24
84,South Indian,Idli Sambhar,3,9
80,Chinese,Chilli Potato,1,18
52,Dessert,Gulab Jamun,1,25
59,Mexican,Challupa,3,33
79,Thai ,Tom Yam,4,16
67,Indian,Palak Paneer,1,7
47,Chinese,Chilli Paneer,2,17
11,Chaat,Raj Kachori,3,0
33,Indian,Chole Bhature,2,5
1,Dessert,Chocolate Ice-Cream,5,23
50,Indian,Shahi Paneer,3,8
39,Thai ,Tom Yam,5,16
54,Chaat,Aloo Tikki,2,2
60,Fast Food,Veg Burger,4,29
89,Dessert,Gulab Jamun,4,25
3,Dessert,Chocolate Ice-Cream,2,23
17,Mexican,Tacos,5,35
88,Indian,Dal Makhani,0,4
100,Dessert,Cake,0,24
9,Indian,Butter Naan,2,3
98,Chinese,Chilli Paneer,5,17
16,Indian,Pav Bhaji,2,6
50,Indian,Butter Naan,3,3
55,Indian,Shahi Paneer,5,8
28,Dessert,Rasgulla,1,26
98,Indian,Chole Bhature,3,5
50,South Indian,Idli Sambhar,3,9
88,Chaat,Raj Kachori,0,0
12,Thai ,Tom Yam,4,16
43,Chinese,Noodles,3,20
50,Chinese,Chowmein,1,19
17,Chaat,Raj Kachori,3,0
67,Dessert,Rasgulla,5,26
41,Mexican,Tacos,5,35
71,Chaat,Aloo Tikki,5,2
87,Dessert,Chocolate Ice-Cream,5,23
92,Indian,Butter Naan,0,3
46,Mexican,Burrito,0,32
100,American,Rice Bowl,1,21
80,Beverage,Strawberry Smoothie,1,22
78,Fast Food,Veg Burger,2,29
44,Italian,Pizza,5,31
32,Chaat,GolGappe,3,1
69,Indian,Chole Bhature,0,5
78,Chinese,Chilli Paneer,1,17
18,Dessert,Rasgulla,1,26
22,Dessert,Rasgulla,2,26
45,Mexican,Burrito,5,32
46,South Indian,Onion Uttappam,2,12
28,Dessert,Gulab Jamun,4,25
69,South Indian,Sambhar Vada,4,10
58,Thai ,Thai Curry,3,15
14,Chaat,Raj Kachori,3,0
92,Fast Food,Veg Burger,3,29
82,Indian,Chole Bhature,1,5
53,Indian,Shahi Paneer,0,8
71,Chaat,Aloo Tikki,3,2
13,Italian,Pizza,5,31
59,Chinese,Chowmein,0,19
72,Thai ,Thai Curry,2,15
51,Mexican,Tacos,3,35
74,Indian,Palak Paneer,4,7
35,Indian,Butter Naan,3,3
3,Italian,Pasta,5,30
57,Fast Food,Veg Burger,3,29
88,Beverage,Strawberry Smoothie,4,22
59,Indian,Palak Paneer,2,7
16,Italian,Pizza,3,31
54,American,Rice Bowl,4,21
83,American,Rice Bowl,5,21
62,Indian,Palak Paneer,4,7
87,Beverage,Strawberry Smoothie,4,22
68,Mughlai,Mutton Biryani,0,14
0,Fast Food,Vada Pav,0,27
71,Mughlai,Kebab,1,13
87,Chinese,Noodles,3,20
78,Chinese,Chowmein,4,19
82,Italian,Pizza,4,31
21,Dessert,Rasgulla,3,26
96,Dessert,Rasgulla,5,26
92,Beverage,Strawberry Smoothie,5,22
41,Mexican,Burrito,5,32
61,Chaat,Aloo Tikki,5,2
62,Chaat,Aloo Tikki,3,2
40,Chinese,Chilli Potato,1,18
90,South Indian,Idli Sambhar,3,9
51,Mughlai,Kebab,1,13
62,Chaat,Aloo Tikki,1,2
8,South Indian,Idli Sambhar,3,9
87,Italian,Pizza,0,31
9,Dessert,Chocolate Ice-Cream,0,23
55,Fast Food,Vada Pav,1,27
69,Italian,Pizza,3,31
75,Mexican,Challupa,0,33
76,Beverage,Strawberry Smoothie,3,22
64,Chinese,Chowmein,4,19
43,Beverage,Strawberry Smoothie,5,22
18,Indian,Butter Naan,2,3
39,Thai ,Thai Curry,2,15
49,Chaat,GolGappe,5,1
17,Mexican,Burrito,5,32
28,Italian,Pizza,0,31
66,Mughlai,Kebab,4,13
97,Dessert,Cake,1,24
29,Dessert,Cake,1,24
21,Mughlai,Kebab,5,13
88,Mughlai,Kebab,5,13
17,Dessert,Rasgulla,1,26
90,Beverage,Strawberry Smoothie,4,22
82,Dessert,Rasgulla,5,26
94,Mexican,Tacos,0,35
44,South Indian,Masala Dosa,1,11
54,Italian,Pizza,1,31
46,Chinese,Chilli Potato,3,18
0,South Indian,Masala Dosa,1,11
55,Indian,Dal Makhani,5,4
54,South Indian,Masala Dosa,5,11
31,Mexican,Quesadilla,3,34
83,Indian,Chole Bhature,1,5
63,Dessert,Cake,0,24
91,Chinese,Chowmein,0,19
71,Italian,Pizza,3,31
74,Mughlai,Mutton Biryani,4,14
86,Chinese,Chilli Paneer,3,17
24,Dessert,Cake,4,24
15,Indian,Shahi Paneer,4,8
18,South Indian,Idli Sambhar,5,9
70,Fast Food,Vada Pav,4,27
99,Dessert,Cake,4,24
22,Dessert,Chocolate Ice-Cream,1,23
67,Chaat,Raj Kachori,5,0
54,Mexican,Challupa,1,33
50,Dessert,Gulab Jamun,0,25
45,Beverage,Strawberry Smoothie,2,22
42,Chaat,Aloo Tikki,1,2
85,Thai ,Thai Curry,2,15
71,Indian,Shahi Paneer,1,8
65,South Indian,Onion Uttappam,3,12
4,Indian,Butter Naan,4,3
15,Mexican,Burrito,4,32
97,Beverage,Strawberry Smoothie,3,22
75,Indian,Shahi Paneer,2,8
29,Italian,Pizza,0,31
1,Fast Food,Veg Burger,2,29
60,Chaat,Raj Kachori,4,0
39,Mexican,Quesadilla,2,34
48,Dessert,Cake,0,24
91,Mughlai,Mutton Biryani,2,14
48,South Indian,Onion Uttappam,4,12
97,Chaat,Raj Kachori,5,0
85,Chinese,Chilli Potato,5,18
21,Italian,Pasta,1,30
72,Chinese,Noodles,2,20
47,Italian,Pasta,5,30
40,Mexican,Quesadilla,5,34
21,Dessert,Rasgulla,0,26
21,Indian,Shahi Paneer,1,8
69,Chinese,Chilli Potato,1,18
78,Dessert,Gulab Jamun,5,25
86,Chinese,Chilli Paneer,4,17
61,Mughlai,Kebab,2,13
73,Indian,Butter Naan,5,3
8,Dessert,Cake,1,24
66,Mexican,Challupa,3,33
20,South Indian,Onion Uttappam,4,12
68,Chinese,Chilli Potato,0,18
89,Indian,Dal Makhani,4,4
71,Indian,Shahi Paneer,5,8
26,Indian,Dal Makhani,0,4
93,South Indian,Idli Sambhar,2,9
0,Mughlai,Mutton Biryani,3,14
47,American,Rice Bowl,4,21
48,Chinese,Chowmein,5,19
11,Chinese,Noodles,1,20
7,Mexican,Tacos,0,35
71,Indian,Pav Bhaji,2,6
84,Chaat,Raj Kachori,4,0
76,Fast Food,Veg Burger,2,29
91,American,Rice Bowl,2,21
98,Italian,Pizza,1,31
64,Mughlai,Kebab,4,13
72,Chaat,Aloo Tikki,1,2
41,Indian,Dal Makhani,4,4
50,Chinese,Noodles,1,20
63,Chinese,Chilli Potato,4,18
73,Dessert,Cake,4,24
69,Dessert,Gulab Jamun,4,25
75,Indian,Butter Naan,2,3
64,Indian,Shahi Paneer,0,8
70,Fast Food,Veg Burger,3,29
57,Beverage,Strawberry Smoothie,3,22
86,Dessert,Chocolate Ice-Cream,4,23
97,Indian,Butter Naan,3,3
40,South Indian,Sambhar Vada,1,10
50,Chinese,Chowmein,0,19
8,Dessert,Rasgulla,2,26
25,Indian,Pav Bhaji,1,6
74,Indian,Butter Naan,4,3
26,Chaat,Raj Kachori,5,0
80,Italian,Pizza,3,31
3,Chinese,Chilli Potato,5,18
47,Chinese,Chowmein,4,19
54,Indian,Butter Naan,3,3
53,Mughlai,Kebab,1,13
32,Mexican,Challupa,2,33
88,South Indian,Sambhar Vada,5,10
33,Indian,Chole Bhature,4,5
3,Dessert,Chocolate Ice-Cream,0,23
16,Mexican,Tacos,2,35
69,Indian,Dal Makhani,2,4
25,Fast Food,Subway,3,28
17,Mexican,Tacos,2,35
86,Italian,Pasta,1,30
75,Italian,Pizza,4,31
72,South Indian,Masala Dosa,1,11
67,Mughlai,Kebab,2,13
20,Fast Food,Vada Pav,3,27
1,Chaat,GolGappe,1,1
14,South Indian,Masala Dosa,2,11
47,Thai ,Thai Curry,5,15
63,Indian,Pav Bhaji,4,6
6,Dessert,Cake,1,24
100,Mexican,Tacos,1,35
92,Mexican,Challupa,4,33
60,Indian,Shahi Paneer,0,8
29,Mexican,Quesadilla,1,34
56,South Indian,Sambhar Vada,0,10
11,South Indian,Idli Sambhar,4,9
70,Mughlai,Kebab,3,13
7,Dessert,Rasgulla,1,26
26,Italian,Pizza,4,31
85,Italian,Pasta,3,30
55,South Indian,Onion Uttappam,2,12
59,Chaat,GolGappe,1,1
39,Beverage,Strawberry Smoothie,0,22
44,Indian,Chole Bhature,2,5
20,Mexican,Challupa,4,33
36,Thai ,Thai Curry,4,15
35,Thai ,Thai Curry,1,15
79,Indian,Chole Bhature,4,5
28,Mughlai,Kebab,3,13
10,Mexican,Tacos,1,35
71,Mughlai,Kebab,2,13
34,Dessert,Gulab Jamun,2,25
